Nombre,Ubicacion,Salario,Modalidad,Idioma,Experiencia,Conocimientos,Url,Descripcion
Trabajo Desde Casa Node Developer,"Portoviejo, Manabi",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Node.js, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador ASP.NET / Investigacion y Desarrollo,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,4 anos de experiencia,"Conocimientos: SQL Server, C#, CSS, Dot Net, HTML, JavaScript, Tecnologia de la informacion, Lean, Agile",None,None
Work From Home Junior Python Backend Developer / Research + Development,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,1 ano de experiencia,"Conocimientos: Oracle, SQL Server, Python, Tecnologia de la informacion, Django, Node.js, Lean, MySql",None,None
Trabajo Desde Casa Desarrollador Junior/MidLevel .NET / I + D,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: SQL Server, C#, CSS, Dot Net, HTML, JavaScript, Tecnologia de la informacion, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador Node Backend,"Quito, Pichincha",None,Remoto,Idiomas: Ingles,4 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Node.js, Lean, Agile",None,None
Trabajo Desde Casa Desarrollador React Frontend,"Santo Domingo, Santo Domingo de los Tsachilas",None,Remoto,Idiomas: Ingles,4 anos de experiencia,"Conocimientos: CSS, JavaScript, Tecnologia de la informacion, Backbone.js, AngularJS, Lean, Agile, HTML 5",None,None
Work From Home Wordpress Developer,"Guayaquil, Guayas",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Lean, Agile, WordPress",None,None
Work From Home Junior Python Backend Developer / Research + Development,"Santo Domingo, Santo Domingo de los Tsachilas",None,Remoto,Idiomas: Ingles,1 ano de experiencia,"Conocimientos: Oracle, SQL Server, Python, Tecnologia de la informacion, Django, Node.js, Lean, MySql",None,None
Desarrollador Full Stack Laravel Angular Backend,"Quito, Pichincha",None,Presencial y remoto,Idiomas: Ingles,2 anos de experiencia,"Conocimientos: Oracle, SQL Server, Laravel, ASP.NET MVC Web API, ASP.NET MVC",None,None
Programador remoto,"Cuenca, Azuay",None,"2.000,00 US$ (Mensual)
                
                    
                    Remoto",Edad: entre 23 y 42 anos,1 ano de experiencia,"Conocimientos: Linux, SQL Server, Java",None,None
Work From Home Salesforce Developer,"Santo Domingo, Santo Domingo de los Tsachilas",None,Remoto,Idiomas: Ingles,5 anos de experiencia,"Conocimientos: Tecnologia de la informacion, Lean, Agile",None,None
